"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
924,"1","2025-08-29T11:03:37.396484Z","sms-00001","unclear",11.577,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","2025-08-29T11:03:37.396499Z"
925,"1","2025-08-29T11:03:39.735942Z","sms-00002","unclear",2.175,"Ok lar... Joking wif u oni...","2025-08-29T11:03:39.735959Z"
926,"1","2025-08-29T11:03:41.173918Z","sms-00003","spam",1.306,"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's","2025-08-29T11:03:41.173930Z"
927,"1","2025-08-29T11:03:56.326314Z","sms-00004","ham",14.995,"U dun say so early hor... U c already then say...","2025-08-29T11:03:56.326331Z"
928,"1","2025-08-29T11:03:58.138120Z","sms-00005","ham",1.65,"Nah I don't think he goes to usf, he lives around here though","2025-08-29T11:03:58.138148Z"
929,"1","2025-08-29T11:03:59.571399Z","sms-00006","spam",1.278,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv","2025-08-29T11:03:59.571422Z"
930,"1","2025-08-29T11:04:01.469003Z","sms-00007","ham",1.746,"Even my brother is not like to speak with me. They treat me like aids patent.","2025-08-29T11:04:01.469020Z"
931,"1","2025-08-29T11:04:03.018680Z","sms-00008","spam",1.394,"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune","2025-08-29T11:04:03.018698Z"
932,"1","2025-08-29T11:04:05.702233Z","sms-00009","spam",2.52,"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.","2025-08-29T11:04:05.702253Z"
933,"1","2025-08-29T11:04:11.186774Z","sms-00010","spam",5.325,"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030","2025-08-29T11:04:11.186790Z"
934,"1","2025-08-29T11:04:12.809793Z","sms-00011","ham",1.467,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","2025-08-29T11:04:12.809811Z"
935,"1","2025-08-29T11:04:14.078774Z","sms-00012","spam",1.12,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","2025-08-29T11:04:14.078792Z"
936,"1","2025-08-29T11:04:15.221344Z","sms-00013","spam",0.998,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","2025-08-29T11:04:15.221360Z"
937,"1","2025-08-29T11:04:17.034319Z","sms-00014","ham",1.669,"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.","2025-08-29T11:04:17.034337Z"
938,"1","2025-08-29T11:04:18.267717Z","sms-00015","ham",1.082,"I HAVE A DATE ON SUNDAY WITH WILL!!","2025-08-29T11:04:18.267732Z"
